,SI-SDR,Source,Model,Loss Type,Final Loss,STFT hop_length,STFT window_length,Model activation,Model bidirectional,Model dropout,Model hidden_size,Model num_audio_channels,Model num_layers,Model num_sources,Optimizer lr,Epochs,Epoch Length,Train Coherent Fraction,Batch Size,Test Size,Test Length,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR,STFT window_type,Model in_channels,Model init_features,Model logscale,Model out_channels,Model hop_length,Model num_features,Model num_filters,Model window_type
16,-3.9676003795586654,vocals,Mask,L1,0.0005132143851369,128.0,512.0,sigmoid,True,0.3,50.0,1.0,2.0,1.0,0.0001,25,25,1.0,10,50,5,1.468459098819829,-2.2576747055296025,-13.815798115406407,0.6846698314325607,-12.49901063661803,5.3911813505759625,-4.456556836412659,10.155690147933392,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
10,-3.987443159059301,vocals,Mask,L1,0.0004251138307154,128.0,512.0,sigmoid,True,0.5,50.0,1.0,2.0,1.0,0.001,25,25,1.0,10,50,5,3.975972828766225,-2.68185868012623,-9.49984438311698,1.0834972014073103,-6.57676875819885,5.371338571075327,-0.1406031041232316,10.554517517908142,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
14,-4.04052742432415,vocals,Mask,L1,0.0003901594900526,128.0,512.0,sigmoid,True,0.3,50.0,1.0,2.0,1.0,0.01,25,25,1.0,10,50,5,4.644434807175061,-3.094106957328984,-9.543677960669914,1.1714994819626343,-6.586386332780538,5.318254305810478,-0.1844366816761649,10.642519798463466,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
2,-4.344339734666837,vocals,Mask,L1,0.0003960536269005,128.0,512.0,sigmoid,True,0.3,50.0,1.0,1.0,1.0,0.001,25,25,1.0,10,50,5,4.482007958576912,-3.2610263347694146,-10.856571458334978,1.091137479868734,-8.396188688735169,5.014441995467792,-1.4973301793412288,10.562157796369569,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
0,-4.455854820091632,vocals,Mask,L1,0.0004229474870953,128.0,512.0,sigmoid,True,0.3,50.0,1.0,2.0,1.0,0.001,25,25,1.0,10,50,5,4.209634801814234,-3.3171614646560044,-10.01767757883899,1.012083005115143,-7.091687865476905,4.902926910042996,-0.6584362998452423,10.483103321615976,-9.358781730134629,-9.35924127899375,-9.471020316500832,,,,,,,,,
8,-4.472856712943791,vocals,Mask,L1,0.000406840495998,128.0,512.0,sigmoid,True,0.1,50.0,1.0,2.0,1.0,0.001,25,25,1.0,10,50,5,3.4427473763305696,-3.0970295403939936,-9.978089964745408,0.9544514572987016,-6.995760977558351,4.885925017190837,-0.6188486857516623,10.425471773799533,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
26,-4.509573792258816,vocals,Mask,L1,0.0003922819450963,256.0,512.0,sigmoid,True,0.3,50.0,1.0,2.0,1.0,0.001,25,25,1.0,10,50,5,3.5035488061411955,-3.274178530141413,-10.381055358674242,1.0882988516744152,-7.519439689225674,4.849207937875812,-1.021814079680492,10.559319168175248,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
12,-4.532565900605977,vocals,Mask,L1,0.0004236857930663,128.0,512.0,sigmoid,True,0.7,50.0,1.0,2.0,1.0,0.001,25,25,1.0,10,50,5,3.943680195123441,-3.307281196592599,-10.426019953097036,0.9545401448144976,-7.60585007127615,4.826215829528651,-1.0667786741032863,10.425560461315326,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
28,-4.546688715250172,vocals,UNet,L1,0.0002440529351588,512.0,2047.0,,,,,,,,0.001,25,25,1.0,10,50,5,-2.724409448516082,0.3747306427668374,-19.18320121656638,0.2344558215832868,-18.399853624902164,4.812093014884457,-9.823959937572631,9.705476138084116,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,1.0,16.0,True,1.0,,,,
20,-4.57210011526235,vocals,Mask,L1,0.0004641232953872,128.0,512.0,sigmoid,True,0.3,25.0,1.0,2.0,1.0,0.001,25,25,1.0,10,50,5,3.350664009659159,-3.387936200910092,-11.636345285602893,1.0339921479428122,-9.413700236052284,4.786681614872279,-2.2771040066091444,10.505012464443642,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
4,-4.594010838787036,vocals,Mask,L1,0.0004235570959281,128.0,512.0,sigmoid,True,0.3,50.0,1.0,3.0,1.0,0.001,25,25,1.0,10,50,5,4.105060165274446,-3.3762856830110284,-10.289257568422348,0.9709104918038384,-7.4115173958761424,4.764770891347593,-0.9300162894285968,10.441930808304672,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
18,-4.76474798717401,vocals,Mask,L1,0.0004255422682035,128.0,512.0,sigmoid,True,0.5,50.0,1.0,3.0,1.0,0.001,25,25,1.0,10,50,5,3.682436770865608,-3.488818368471901,-10.8518257052853,0.8651296010233102,-8.066451540522458,4.594033742960619,-1.4925844262915524,10.33614991752414,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
6,-4.787651374166994,vocals,Mask,L1,0.0004940494545735,128.0,512.0,sigmoid,True,0.3,50.0,1.0,5.0,1.0,0.001,25,25,1.0,10,50,5,2.784193727744322,-3.381448081192333,-12.01523024180096,0.8638310349401005,-9.543993041446608,4.571130355967633,-2.6559889628072115,10.334851351440932,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
24,-4.798985206303488,vocals,Mask,L1,0.0004300375876482,64.0,512.0,sigmoid,True,0.3,50.0,1.0,2.0,1.0,0.001,25,25,1.0,10,50,5,3.750200480365877,-3.659777747517949,-11.468255170757802,0.8983529208548853,-8.958774056184007,4.559796523831141,-2.109013891764052,10.369373237355717,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
22,-4.884912150456078,vocals,Mask,L1,0.0003914641565643,128.0,512.0,sigmoid,True,0.3,100.0,1.0,2.0,1.0,0.001,25,25,1.0,10,50,5,3.7478286107966254,-3.772567755028034,-10.820610238909898,0.9647936825942488,-7.714550872542561,4.473869579678549,-1.46136895991615,10.435813999095078,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,,,,,,,,
30,-7.688340566495726,vocals,UNet,L1,0.0002268818643642,512.0,2047.0,,,,,,,,0.001,25,25,1.0,10,50,5,-7.123648851102859,1.7936342496762463,-23.53267548571657,-0.1113224556820235,-22.794113290892124,1.6704411636389005,-14.173434206722826,9.359697860818804,-9.358781730134629,-9.35924127899375,-9.471020316500832,sqrt_hann,1.0,8.0,True,1.0,,,,
38,-9.54281009037355,vocals,Filterbank,L2,0.0025881181936711,,,sigmoid,True,0.5,50.0,1.0,3.0,1.0,0.005,15,25,1.0,10,50,5,-1.790184431948702,-8.537069912256783,-15.97315226587031,-0.4467654179172049,-13.736675033074428,-0.1840283602389217,-6.613910986876561,9.024254898583626,-9.358781730134629,-9.35924127899375,-9.471020316500832,,,,,,32.0,128.0,128.0,sqrt_hann
36,-10.129597591772969,vocals,Filterbank,L2,0.0025114759337157,,,sigmoid,True,0.3,50.0,1.0,2.0,1.0,0.005,15,25,1.0,10,50,5,-2.9515246575987084,-9.05496995936888,-17.292325807233812,-0.5353037601676793,-15.276426148251833,-0.770815861638341,-7.933084528240065,8.935716556333151,-9.358781730134629,-9.35924127899375,-9.471020316500832,,,,,,32.0,128.0,128.0,sqrt_hann
34,-13.10154889346294,vocals,Filterbank,L2,0.0048257461749017,,,sigmoid,True,0.3,50.0,1.0,2.0,1.0,0.001,15,25,1.0,10,50,5,-1.07550362180995,-12.642690800519896,-15.930907225065727,-2.615511257127645,-10.886998288267428,-3.7427671633283146,-6.571665946071981,6.855509059373185,-9.358781730134629,-9.35924127899375,-9.471020316500832,,,,,,32.0,128.0,128.0,sqrt_hann
32,-14.969690304497002,vocals,Filterbank,L2,0.002508227713406,,,sigmoid,True,0.3,50.0,1.0,2.0,1.0,0.01,25,25,1.0,10,50,5,-8.399789265717146,-13.820770508987168,-25.420437457632623,-0.6836533590216931,-24.168055560276333,-5.6109085743623694,-16.061196178638884,8.787366957479138,-9.358781730134629,-9.35924127899375,-9.471020316500832,,,,,,32.0,128.0,128.0,sqrt_hann
40,-15.625355306971612,vocals,Filterbank,L2,0.0024379114620387,,,sigmoid,True,0.5,50.0,1.0,3.0,1.0,0.005,15,25,1.0,10,50,5,-9.999801292277414,-14.165181728164676,-27.673184962855693,-0.6947887363902016,-26.569025861181352,-6.266573576836984,-18.313943683861943,8.77623158011063,-9.358781730134629,-9.35924127899375,-9.471020316500832,,,,,,32.0,16.0,16.0,sqrt_hann
